ranking,name,Sales,YOY_Sales,Units,YOY_Units,segment_category
141,"Pizza Ranch",269,7.3,212,2.9,Pizza
142,"Pappadeaux Seafood Kitchen",269,3.1,40,0,Seafood
143,"Braum's Ice Cream & Dairy Stores",268,2.2,281,0,"Frozen Desserts"
144,"Pei Wei Asian Diner",268,-12.5,150,-16.7,Asian/Noodle
145,"Cafe Rio Mexican Grill",267,9.9,126,6.8,Mexican
146,"Morton's The Steakhouse",266,-1.5,63,-1.6,Steak
147,Smashburger,265,-6.5,312,-3.4,Burger
148,Wienerschnitzel,265,3.6,330,1.5,Sandwich
149,Sizzler,259,-3.8,122,-6.9,"Family Casual"
150,"Seasons 52",253,1.4,44,4.8,"Varied Menu"
151,"Bahama Breeze Island Grille",252,5.3,43,7.5,"Varied Menu"
152,"Pret A Manger",252,4.7,95,3.3,"Bakery Cafe"
153,"Godfather's Pizza",250,4.9,569,3.8,Pizza
154,"Huddle House",247,0.9,342,-2.6,"Family Style"
155,"Mastro's Restaurants",242,9.7,18,5.9,Steak
156,"Uncle Julio's",239,11.7,36,2.9,Mexican
157,"Fazoli's",238,2.8,215,0,Sandwich
158,"Rubio's",232,-0.1,197,-3.4,Mexican
159,"Legal Sea Foods",227,-1.9,34,-2.9,Seafood
160,"A&W All-American Food",227,1.8,575,-6.5,Burger
161,"Newk's Eatery",227,0.4,121,-0.8,Sandwich
162,"Fuzzy's Taco Shop",225,8.6,152,3.4,Mexican
163,Sbarro,218,-4,300,-2.6,Pizza
164,"Romano's Macaroni Grill",218,-4.6,85,-3.4,Italian/Pizza
165,"Brio Tuscan Grille",217,-4,57,-1.7,Italian/Pizza
166,"Lazy Dog Restaurant & Bar",213,21.3,36,20,"Varied Menu"
167,"Souplantation & Sweet Tomatoes",211,-3.3,97,0,"Family Casual"
168,"Friendly's",210,-15.3,160,-20.4,"Family Style"
169,"Del Frisco's Double Eagle Steak House",205,12.4,16,0,Steak
170,"Penn Station East Coast Subs",201,0.8,306,-1.3,Sandwich
171,Cinnabon,201,5.6,956,3.5,Snack
172,"Uno Pizzeria & Grill",196,-12.9,85,-14.1,Italian/Pizza
173,"J. Alexander's",195,2.8,34,3,"Varied Menu"
174,"Luby's",195,-7.5,79,-6,"Family Casual"
175,"Which Wich",193,-4.2,372,-3.9,Sandwich
176,"Firebirds Wood Fired Grill",192,7.4,51,6.3,"Varied Menu"
177,"Le Pain Quotidien",192,1.2,94,0,"Bakery Cafe"
178,"Sonny's BBQ",191,-8.3,94,-6.9,BBQ
179,"True Food Kitchen",190,13.8,32,28,"Varied Menu"
180,"Buca di Beppo",189,-5.7,76,-1.3,Italian/Pizza
181,"Hard Rock Cafe",187,-5.2,40,-4.8,"Varied Menu"
182,"Johnny Rockets",186,-10.2,155,-11.4,"Varied Menu"
183,Fuddruckers,185,-15.8,138,-11.5,Burger
184,"The Original Pancake House",185,3.1,141,0,"Family Style"
185,Sweetgreen,184,16.8,102,10.9,Healthy
186,"Golden Chick",183,6.7,184,0.5,Chicken
187,"Mountain Mike's Pizza",181,10.9,215,5.4,Pizza
188,"Bubba Gump Shrimp Co.",181,-2.9,27,0,Seafood
189,"The Melting Pot",181,-6.5,105,-7.9,"Varied Menu"
190,"Farmer Boys",179,1.7,93,1.1,Burger
191,"Donatos Pizza",179,3.8,165,3.1,Pizza
192,"Shoney's",179,-4.4,126,-0.8,"Family Style"
193,"Taco Bueno",178,-12.4,145,-12.1,Mexican
194,"Claim Jumper",177,-10.2,35,-5.4,"Varied Menu"
195,"Wetzel's Pretzels",177,3.9,353,5.4,Snack
196,"La Madeleine Country French Cafe",174,2.4,87,0,"Bakery Cafe"
197,"Giordano's",173,5.5,70,1.4,Italian/Pizza
198,"Islands Fine Burgers & Drinks",173,0.9,56,0,"Varied Menu"
199,"Mimi's Bistro & Bakery",172,-4.8,77,-2.5,"Varied Menu"
200,"Beef 'O' Brady's",171,-5,153,-2.5,"Sports Bar"
201,"Metro Diner",171,36.3,69,3,"Family Style"
202,"Bill Miller Bar-B-Q",170,3.6,75,1.4,BBQ
203,"Black Angus Steakhouse",168,1.6,42,-4.5,Steak
204,"Smokey Bones Bar & Fire Grill",168,-1.3,61,-3.2,BBQ
205,"Joe's Crab Shack",166,-7.4,53,-7,Seafood
206,"LaRosa's Pizzeria",164,3.7,66,3.1,Italian/Pizza
207,Roosters,163,6.7,42,2.4,"Varied Menu"
208,"Great Harvest Bread Co.",162,-1.9,182,-0.5,"Bakery Cafe"
209,"Shari's Cafe and Pies",161,-2.4,92,0,"Family Style"
210,"Lee's Famous Recipe Chicken",161,-2.3,129,-1.5,Chicken
211,"Wayback Burgers",159,2,143,0.7,Burger
212,"McCormick & Schmick's",157,-15.6,35,-14.6,Seafood
213,"Grand Lux Cafe",157,1.2,13,0,"Varied Menu"
214,"Anthony's Coal Fired Pizza",153,4,68,1.5,Italian/Pizza
215,"Chicken Salad Chick",153,39.5,144,38.5,Chicken
216,"Paris Baguette",152,14.5,81,8,"Bakery Cafe"
217,"Eat'n Park",152,-6.5,63,-7.4,"Family Style"
218,"Hurricane Grill & Wings",151,0.8,56,0,"Sports Bar"
219,"The Old Spaghetti Factory",150,2.2,42,0,Italian/Pizza
220,"Taziki's Mediterranean Cafe",149,11.9,93,6.9,Ethnic
221,"Menchie's Frozen Yogurt",149,-3.1,416,-2.1,"Frozen Desserts"
222,"Bruegger's Bagels",148,-4.5,210,-2.8,"Bakery Cafe"
223,"Tijuana Flats",147,6.5,139,2.2,Mexican
224,"Duffy's Sports Grill",144,2.6,34,0,"Sports Bar"
225,"Eddie V's Prime Seafood",144,8.1,21,10.5,Seafood
226,Topgolf,144,14.6,54,14.9,"Varied Menu"
227,"Ocean Prime",144,20.2,16,6.7,Seafood
228,"Pappasito's Cantina",143,2.2,25,0,Mexican
229,"Pollo Campero",143,1.1,78,-2.5,Chicken
230,"Houlihan's",143,-21.2,45,-32.8,"Varied Menu"
231,"Old Country Buffet/HomeTown Buffet",142,-18.8,49,-24.6,"Family Casual"
232,"Great American Cookies",142,2.7,368,2.2,Snack
233,Nobu,139,9.4,17,13.3,Asian
234,BurgerFi,138,3,112,7.7,Burger
235,"Mission BBQ",136,25,90,21.6,BBQ
236,"Walk-On's Sports Bistreaux",133,27.8,33,37.5,"Sports Bar"
237,"The Coffee Bean & Tea Leaf",133,-2.1,282,-0.7,"Coffee Café"
238,Yogurtland,132,-2.6,267,-2.2,"Frozen Desserts"
239,"Daylight Donuts",132,2.2,415,0.2,Snack
240,"WaBa Grill",132,3.7,191,0,Asian/Noodle
241,"54th Street Restaurant & Drafthouse",131,4.5,31,6.9,"Varied Menu"
242,"Biggby Coffee",129,3.8,240,0.8,"Coffee Cafe"
243,"Costa Vida Fresh Mexican Grill",129,5.2,93,2.2,Mexican
244,"L&L Hawaiian Barbecue",129,5.1,195,3.7,BBQ
245,Gyu-Kaku,129,18.6,52,8.3,Asian
246,"Rainforest Cafe",129,-10.4,18,-5.3,"Varied Menu"
247,PDQ,127,-5.5,56,-11.1,Chicken
248,"Lupe Tortilla",127,12.1,25,8.7,Mexican
249,"Cook-Out Restaurant",126,10.1,270,7.1,Burger
250,Jollibee,126,15.2,40,11.1,Chicken
